2020/07/02 16:56:17 [error] 12092#20372: *294 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/actions.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/actions.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
2020/07/02 16:56:17 [error] 12092#20372: *295 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/urlify.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/urlify.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
2020/07/02 16:56:17 [error] 12092#20372: *296 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/prepopulate.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/prepopulate.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
2020/07/02 16:56:17 [error] 12092#20372: *297 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/vendor/xregexp/xregexp.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
2020/07/02 16:56:17 [error] 12092#20372: *298 rewrite or internal redirection cycle while internally redirecting to "/static/admin/img/search.svg/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/img/search.svg HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
2020/07/02 16:56:17 [error] 12092#20372: *287 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/vendor/jquery/jquery.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
2020/07/02 16:56:17 [error] 12092#20372: *299 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/jquery.init.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/jquery.init.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
2020/07/02 16:56:17 [error] 12092#20372: *300 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/core.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/core.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
2020/07/02 16:56:17 [error] 12092#20372: *301 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/admin/RelatedObjectLookups.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
2020/07/02 16:56:17 [error] 12092#20372: *302 rewrite or internal redirection cycle while internally redirecting to "/static/admin/js/actions.js/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html/index.html", client: 127.0.0.1, server: localhost, request: "GET /static/admin/js/actions.js HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/auth/group/"
